|slug                                         |name_full                                                      |resistance_source   |load_capacity_kg|active_tension_exposure_vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|barbell_front_squat                          |Barbell Front Squat with Front-Rack Grip                       |Barbell             |85              |"{\"soleus\": 68.00, \"obliques\": 30.00, \"iliopsoas\": 12.00, \"rhomboids\": 8.00, \"gastrocnemius\": 24.00, \"rotator_cuffs\": 12.00, \"wrist_flexors\": 6.00, \"erector_spinae\": 72.00, \"gluteus_medius\": 34.00, \"rectus_femoris\": 20.00, \"semitendinosus\": 5.50, \"adductor_magnus\": 34.00, \"gluteus_maximus\": 66.00, \"gluteus_minimus\": 7.00, \"semimembranosus\": 18.00, \"trapezius_lower\": 5.00, \"trapezius_upper\": 9.00, \"vastus_medialis\": 48.00, \"wrist_extensors\": 8.00, \"deltoid_anterior\": 10.00, \"rectus_abdominis\": 12.00, \"trapezius_middle\": 8.00, \"vastus_lateralis\": 98.00, \"serratus_anterior\": 6.00, \"tibialis_anterior\": 7.00, \"vastus_intermedius\": 29.00, \"transverse_abdominis\": 14.00, \"adductor_longus_brevis\": 10.00, \"biceps_femoris_long_head\": 12.00, \"biceps_femoris_short_head\": 3.00}"                                     |
|plate_weighted_decline_bench_crunch          |Decline Bench Plate-Weighted Abdominal Crunch                  |Other               |20              |"{\"obliques\": 34.00, \"rectus_abdominis\": 22.50, \"transverse_abdominis\": 4.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|kneeling_ab_wheel_rollout                    |Kneeling Bodyweight Ab Wheel Rollout                           |Other               |55              |"{\"obliques\": 33.87, \"wrist_flexors\": 3.00, \"erector_spinae\": 6.00, \"gluteus_maximus\": 4.55, \"deltoid_anterior\": 5.00, \"latissimus_dorsi\": 30.35, \"rectus_abdominis\": 18.53, \"serratus_anterior\": 15.00, \"triceps_long_head\": 8.28, \"transverse_abdominis\": 7.56, \"pectoralis_major_sternal\": 16.39}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|plate_weighted_kneeling_ab_wheel_rollout     |Kneeling Plate-Weighted Ab Wheel Rollout                       |Other               |10              |"{\"obliques\": 36.59, \"wrist_flexors\": 3.50, \"erector_spinae\": 7.00, \"gluteus_maximus\": 5.32, \"deltoid_anterior\": 5.50, \"latissimus_dorsi\": 31.37, \"rectus_abdominis\": 19.12, \"serratus_anterior\": 16.50, \"triceps_long_head\": 9.14, \"transverse_abdominis\": 8.17, \"pectoralis_major_sternal\": 17.86}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|captains_chair_straight_leg_pelvic_raise     |Captain's Chair Straight-Leg Raise with Posterior Pelvic Curl  |Bodyweight          |50              |"{\"obliques\": 15.00, \"iliopsoas\": 66.13, \"sartorius\": 1.25, \"erector_spinae\": 4.50, \"rectus_femoris\": 41.32, \"vastus_medialis\": 2.50, \"latissimus_dorsi\": 3.50, \"rectus_abdominis\": 18.00, \"vastus_lateralis\": 4.00, \"deltoid_posterior\": 2.50, \"triceps_long_head\": 3.00, \"vastus_intermedius\": 2.00, \"transverse_abdominis\": 5.00, \"adductor_longus_brevis\": 2.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|smith_machine_back_squat                     |Smith Machine Back Squat                                       |Smith_Machine       |100             |"{\"soleus\": 76.00, \"obliques\": 4.00, \"gastrocnemius\": 27.00, \"erector_spinae\": 12.00, \"gluteus_medius\": 4.00, \"rectus_femoris\": 38.00, \"adductor_magnus\": 49.00, \"gluteus_maximus\": 101.00, \"vastus_medialis\": 92.00, \"vastus_lateralis\": 195.00, \"vastus_intermedius\": 54.00, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|plate_loaded_hack_squat                      |Plate-Loaded Linear Hack Squat                                 |Plate_Loaded_Machine|140             |"{\"soleus\": 80.00, \"obliques\": 2.50, \"gastrocnemius\": 30.00, \"gluteus_medius\": 3.50, \"rectus_femoris\": 40.00, \"adductor_magnus\": 47.00, \"gluteus_maximus\": 98.00, \"vastus_medialis\": 97.00, \"vastus_lateralis\": 205.00, \"vastus_intermedius\": 56.00, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|standing_horizontal_cable_woodchopper        |Standing Horizontal Cable Woodchopper                          |Cable               |25              |"{\"obliques\": 45.46, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 2.00, \"erector_spinae\": 2.00, \"gluteus_medius\": 1.19, \"gluteus_maximus\": 1.50, \"deltoid_anterior\": 4.00, \"latissimus_dorsi\": 5.50, \"rectus_abdominis\": 6.50, \"serratus_anterior\": 8.50, \"transverse_abdominis\": 4.50, \"pectoralis_major_sternal\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|dumbbell_reverse_lunge                       |Bilateral Dumbbell Alternating Reverse Lunge                   |Dumbbell            |45              |"{\"soleus\": 50.00, \"obliques\": 5.00, \"gastrocnemius\": 20.50, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 10.00, \"erector_spinae\": 31.00, \"gluteus_medius\": 45.00, \"rectus_femoris\": 12.50, \"semitendinosus\": 5.00, \"adductor_magnus\": 29.00, \"gluteus_maximus\": 62.00, \"gluteus_minimus\": 8.00, \"semimembranosus\": 17.50, \"trapezius_upper\": 5.50, \"vastus_medialis\": 31.00, \"wrist_extensors\": 3.00, \"latissimus_dorsi\": 3.00, \"trapezius_middle\": 3.00, \"vastus_lateralis\": 64.00, \"vastus_intermedius\": 18.50, \"transverse_abdominis\": 4.00, \"biceps_femoris_long_head\": 10.50}"                                                                                                                                                                                                                                                                             |
|selectorized_abdominal_crunch                |Selectorized Seated Abdominal Crunch                           |Selectorized_Machine|55              |"{\"obliques\": 35.92, \"erector_spinae\": 4.00, \"rectus_abdominis\": 20.15, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|dumbbell_bulgarian_split_squat               |Bilateral Dumbbell Rear-Foot-Elevated Bulgarian Split Squat    |Dumbbell            |50              |"{\"soleus\": 72.00, \"obliques\": 5.00, \"gastrocnemius\": 32.00, \"rotator_cuffs\": 5.00, \"wrist_flexors\": 6.00, \"erector_spinae\": 7.00, \"gluteus_medius\": 25.00, \"rectus_femoris\": 33.00, \"semitendinosus\": 4.00, \"adductor_magnus\": 50.00, \"gluteus_maximus\": 105.00, \"gluteus_minimus\": 4.50, \"semimembranosus\": 14.00, \"vastus_medialis\": 84.00, \"wrist_extensors\": 3.00, \"latissimus_dorsi\": 4.00, \"trapezius_middle\": 3.50, \"vastus_lateralis\": 177.00, \"vastus_intermedius\": 48.00, \"transverse_abdominis\": 4.00, \"biceps_femoris_long_head\": 8.00}"                                                                                                                                                                                                                                                                                                         |
|standing_bilateral_cable_front_raise         |Standing Bilateral Low-Cable Front Raise                       |Cable               |20              |"{\"rotator_cuffs\": 4.00, \"biceps_brachii\": 1.50, \"erector_spinae\": 2.00, \"trapezius_lower\": 3.80, \"trapezius_upper\": 6.50, \"wrist_extensors\": 2.00, \"deltoid_anterior\": 23.50, \"serratus_anterior\": 9.50, \"pectoralis_major_sternal\": 3.02, \"pectoralis_major_clavicular\": 9.12}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|seated_dumbbell_concentration_curl           |Seated Single-Arm Dumbbell Concentration Curl                  |Dumbbell            |12.5            |"{\"brachialis\": 29.50, \"wrist_flexors\": 3.00, \"biceps_brachii\": 23.50, \"brachioradialis\": 2.80, \"pronators_supinators\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|standing_single_arm_dumbbell_suitcase_hold   |Standing Single-Arm Dumbbell Suitcase Hold                     |Dumbbell            |40              |"{\"obliques\": 52.86, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 7.30, \"erector_spinae\": 19.50, \"gluteus_medius\": 4.50, \"brachioradialis\": 1.50, \"trapezius_upper\": 11.00, \"wrist_extensors\": 5.09, \"latissimus_dorsi\": 5.00, \"rectus_abdominis\": 2.00, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|standing_barbell_calf_raise                  |Standing Bilateral Barbell Calf Raise                          |Barbell             |120             |"{\"soleus\": 185.00, \"obliques\": 4.00, \"gastrocnemius\": 155.00, \"rotator_cuffs\": 2.50, \"wrist_flexors\": 3.00, \"erector_spinae\": 8.00, \"trapezius_upper\": 7.00, \"trapezius_middle\": 2.50, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|barbell_good_morning                         |Standing Barbell Good Morning                                  |Barbell             |70              |"{\"soleus\": 22.00, \"obliques\": 18.00, \"rhomboids\": 6.00, \"gastrocnemius\": 14.00, \"erector_spinae\": 95.00, \"gluteus_medius\": 12.00, \"semitendinosus\": 15.50, \"adductor_magnus\": 52.00, \"gluteus_maximus\": 108.00, \"gluteus_minimus\": 3.00, \"semimembranosus\": 55.00, \"trapezius_upper\": 6.00, \"vastus_medialis\": 7.00, \"latissimus_dorsi\": 8.00, \"rectus_abdominis\": 5.00, \"trapezius_middle\": 8.00, \"vastus_lateralis\": 15.00, \"vastus_intermedius\": 5.00, \"transverse_abdominis\": 8.00, \"biceps_femoris_long_head\": 32.00, \"biceps_femoris_short_head\": 4.00}"                                                                                                                                                                                                                                                                                               |
|decline_dumbbell_bench_press                 |Decline Bench Bilateral Dumbbell Bench Press                   |Dumbbell            |70              |"{\"rhomboids\": 2.00, \"rotator_cuffs\": 30.00, \"wrist_flexors\": 4.50, \"biceps_brachii\": 2.00, \"erector_spinae\": 4.00, \"deltoid_anterior\": 13.71, \"latissimus_dorsi\": 3.00, \"trapezius_middle\": 2.00, \"deltoid_posterior\": 2.50, \"serratus_anterior\": 8.00, \"triceps_long_head\": 18.29, \"triceps_medial_head\": 9.04, \"triceps_lateral_head\": 20.94, \"pectoralis_major_sternal\": 34.79, \"pectoralis_major_clavicular\": 1.08}"                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|ez_bar_preacher_curl                         |Seated EZ-Bar Preacher Curl                                    |Barbell             |30              |"{\"brachialis\": 36.00, \"wrist_flexors\": 3.20, \"biceps_brachii\": 28.00, \"brachioradialis\": 6.00, \"deltoid_anterior\": 2.20, \"pronators_supinators\": 2.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|selectorized_pec_deck_fly                    |Selectorized Seated Pec Deck Fly                               |Selectorized_Machine|55              |"{\"rhomboids\": 1.50, \"rotator_cuffs\": 15.50, \"wrist_flexors\": 1.00, \"biceps_brachii\": 2.00, \"erector_spinae\": 2.00, \"deltoid_anterior\": 14.01, \"latissimus_dorsi\": 1.50, \"pectoralis_minor\": 1.95, \"trapezius_middle\": 1.50, \"serratus_anterior\": 4.00, \"pectoralis_major_sternal\": 44.39, \"pectoralis_major_clavicular\": 6.35}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|selectorized_chest_fly                       |Selectorized Seated Chest Fly with Extended-Arm Handles        |Selectorized_Machine|50              |"{\"rhomboids\": 1.50, \"rotator_cuffs\": 17.00, \"wrist_flexors\": 3.81, \"biceps_brachii\": 6.50, \"erector_spinae\": 2.00, \"deltoid_anterior\": 13.71, \"latissimus_dorsi\": 1.50, \"pectoralis_minor\": 1.01, \"trapezius_middle\": 1.50, \"serratus_anterior\": 3.50, \"pectoralis_major_sternal\": 42.78, \"pectoralis_major_clavicular\": 6.08}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|flat_dumbbell_chest_fly                      |Flat Bench Bilateral Dumbbell Chest Fly                        |Dumbbell            |24              |"{\"rhomboids\": 1.50, \"rotator_cuffs\": 30.00, \"wrist_flexors\": 4.50, \"biceps_brachii\": 5.50, \"erector_spinae\": 2.50, \"deltoid_anterior\": 13.71, \"latissimus_dorsi\": 1.50, \"pectoralis_minor\": 2.04, \"trapezius_middle\": 1.50, \"serratus_anterior\": 3.50, \"pectoralis_major_sternal\": 40.11, \"pectoralis_major_clavicular\": 6.08}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|standing_bilateral_dumbbell_front_raise      |Standing Bilateral Dumbbell Front Raise                        |Dumbbell            |16              |"{\"rotator_cuffs\": 4.00, \"biceps_brachii\": 1.50, \"erector_spinae\": 2.00, \"trapezius_lower\": 3.50, \"trapezius_upper\": 6.00, \"wrist_extensors\": 2.00, \"deltoid_anterior\": 22.31, \"serratus_anterior\": 8.50, \"pectoralis_major_sternal\": 2.57, \"pectoralis_major_clavicular\": 8.57}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|forearm_side_plank                           |Bodyweight Forearm Side Plank                                  |Bodyweight          |45              |"{\"obliques\": 49.37, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 1.20, \"erector_spinae\": 3.00, \"gluteus_medius\": 25.96, \"gluteus_maximus\": 3.00, \"gluteus_minimus\": 4.11, \"deltoid_anterior\": 3.50, \"rectus_abdominis\": 4.17, \"serratus_anterior\": 8.73, \"transverse_abdominis\": 9.50, \"adductor_longus_brevis\": 4.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|selectorized_seated_shoulder_press           |Selectorized Seated Bilateral Shoulder Press                   |Selectorized_Machine|55              |"{\"rotator_cuffs\": 20.00, \"wrist_flexors\": 2.00, \"erector_spinae\": 3.00, \"deltoid_lateral\": 20.58, \"trapezius_lower\": 3.00, \"trapezius_upper\": 8.00, \"deltoid_anterior\": 21.32, \"deltoid_posterior\": 2.00, \"serratus_anterior\": 11.00, \"triceps_long_head\": 17.42, \"triceps_medial_head\": 9.20, \"triceps_lateral_head\": 21.30, \"pectoralis_major_clavicular\": 3.11}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|dumbbell_pullover                            |Flat Bench Two-Hand Single-Dumbbell Pullover                   |Dumbbell            |32.5            |"{\"teres_major\": 3.60, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 2.50, \"latissimus_dorsi\": 39.00, \"rectus_abdominis\": 3.00, \"serratus_anterior\": 3.50, \"triceps_long_head\": 15.00, \"pectoralis_major_sternal\": 33.00, \"pectoralis_major_clavicular\": 2.40}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|bodyweight_inverted_row                      |Bodyweight Straight-Leg Inverted Row                           |Bodyweight          |65              |"{\"obliques\": 8.00, \"rhomboids\": 16.00, \"brachialis\": 36.00, \"teres_major\": 3.00, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 4.00, \"biceps_brachii\": 30.00, \"erector_spinae\": 5.00, \"brachioradialis\": 4.50, \"gluteus_maximus\": 8.00, \"trapezius_lower\": 4.50, \"latissimus_dorsi\": 33.00, \"rectus_abdominis\": 6.00, \"trapezius_middle\": 17.00, \"deltoid_posterior\": 16.00, \"transverse_abdominis\": 5.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|chest_supported_t_bar_row                    |Plate-Loaded Chest-Supported T-Bar Row                         |Plate_Loaded_Machine|70              |"{\"rhomboids\": 18.50, \"brachialis\": 37.00, \"teres_major\": 3.40, \"rotator_cuffs\": 3.00, \"wrist_flexors\": 2.50, \"biceps_brachii\": 29.00, \"brachioradialis\": 5.00, \"trapezius_lower\": 5.00, \"latissimus_dorsi\": 38.00, \"trapezius_middle\": 20.00, \"deltoid_posterior\": 18.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|roman_chair_back_extension                   |Roman Chair Bodyweight Back Extension                          |Bodyweight          |55              |"{\"obliques\": 4.00, \"erector_spinae\": 60.00, \"semitendinosus\": 11.00, \"adductor_magnus\": 36.00, \"gluteus_maximus\": 80.00, \"semimembranosus\": 40.00, \"transverse_abdominis\": 3.00, \"biceps_femoris_long_head\": 23.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|plate_loaded_pendulum_squat                  |Plate-Loaded Pendulum Squat                                    |Plate_Loaded_Machine|120             |"{\"soleus\": 75.00, \"obliques\": 2.00, \"gastrocnemius\": 26.00, \"gluteus_medius\": 3.00, \"rectus_femoris\": 40.00, \"adductor_magnus\": 43.00, \"gluteus_maximus\": 94.00, \"vastus_medialis\": 98.00, \"vastus_lateralis\": 207.00, \"vastus_intermedius\": 56.00, \"transverse_abdominis\": 2.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|standing_alternating_supinated_dumbbell_curl |Standing Alternating Supinated Dumbbell Curl                   |Dumbbell            |24              |"{\"obliques\": 7.50, \"brachialis\": 30.00, \"wrist_flexors\": 3.80, \"biceps_brachii\": 24.00, \"erector_spinae\": 7.50, \"brachioradialis\": 2.80, \"wrist_extensors\": 2.00, \"deltoid_anterior\": 1.20, \"pronators_supinators\": 4.20, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
